Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
20/03/2023 10:43:58,   2022,2021,London Area Airports,GATWICK,"30,129,886","20,543,985","1,447,574","21,991,559","3,954,721",456.0837035,"7,384,293","754,034","8,138,327","1,056,214",670.5187585
20/03/2023 10:43:58,   2022,2021,London Area Airports,HEATHROW,"57,924,872","21,283,046","16,182","21,299,228","7,257,838",193.4651889,"36,599,786","25,858","36,625,644","10,209,382",258.7449661
20/03/2023 10:43:58,   2022,2021,London Area Airports,LONDON CITY,"2,349,332","1,970,807",0,"1,970,807","421,815",367.2207010,"378,475",50,"378,525","53,423",608.5431369
20/03/2023 10:43:58,   2022,2021,London Area Airports,LUTON,"12,279,316","10,270,485","118,946","10,389,431","3,543,226",193.2195406,"1,866,627","23,258","1,889,885","596,586",216.7833305
20/03/2023 10:43:58,   2022,2021,London Area Airports,SOUTHEND,"89,229","88,510",279,"88,789","94,367",-5.9109646,104,336,440,0,0.0000000
20/03/2023 10:43:58,   2022,2021,London Area Airports,STANSTED,"22,450,164","19,882,303","230,956","20,113,259","6,238,893",222.3850609,"2,265,635","71,270","2,336,905","484,819",382.0159688
20/03/2023 10:43:58,   2022,2021,Other UK Airports,ABERDEEN,"921,046","364,217","81,773","445,990","138,746",221.4435011,"107,784","367,272","475,056","358,819",32.3943269
20/03/2023 10:43:58,   2022,2021,Other UK Airports,BELFAST CITY (GEORGE BEST),"56,446","52,071","4,241","56,312","58,656",-3.9961811,0,134,134,5,2580.0000000
20/03/2023 10:43:58,   2022,2021,Other UK Airports,BELFAST INTERNATIONAL,"1,466,480","1,273,898","103,708","1,377,606","253,876",442.6294727,"81,563","7,311","88,874","6,452",1277.4643521
20/03/2023 10:43:58,   2022,2021,Other UK Airports,BIGGIN HILL,"3,356",0,"2,701","2,701","2,008",34.5119522,0,655,655,284,130.6338028
