rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
14/03/2025 11:00,2024,1,1,London Area Airports,GATWICK,265358,261561,39,2922,0,146,251,0,0,62,0,416
14/03/2025 11:00,2024,1,1,London Area Airports,HEATHROW,476119,473902,103,1661,0,72,64,0,308,107,5,0
14/03/2025 11:00,2024,1,1,London Area Airports,LONDON CITY,50956,50000,2643,362,0,71,9,2,0,0,10,502
14/03/2025 11:00,2024,1,1,London Area Airports,LUTON,131962,101998,0,675,74,0,638,0,89,0,0,28488
14/03/2025 11:00,2024,1,1,London Area Airports,SOUTHEND,27134,2528,543,219,365,2238,118,10574,10066,131,101,794
14/03/2025 11:00,2024,1,1,London Area Airports,STANSTED,201031,187926,421,3119,2,22,898,0,0,51,71,8942
14/03/2025 11:00,2024,1,2,Miscellaneous,EDMISTON LONDON HELIPORT,8781,2896,2896,2157,24,0,1276,0,2141,18,76,193
14/03/2025 11:00,2024,1,3,Other UK Airports,ABERDEEN,72100,62307,3276,2837,31,2671,2744,1371,0,3,89,47
14/03/2025 11:00,2024,1,3,Other UK Airports,BARRA,1264,1170,2,12,0,0,0,8,66,0,4,4
14/03/2025 11:00,2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),30302,29582,219,424,3,31,5,2,237,16,0,2
14/03/2025 11:00,2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,60480,52012,363,612,0,189,3444,0,0,970,3250,3
14/03/2025 11:00,2024,1,3,Other UK Airports,BENBECULA,2534,1919,15,80,38,2,361,10,41,0,2,81
14/03/2025 11:00,2024,1,3,Other UK Airports,BIGGIN HILL,39535,15872,14733,556,4493,16,0,4335,9031,2,15,5215
14/03/2025 11:00,2024,1,3,Other UK Airports,BIRMINGHAM,94130,88331,859,281,1,130,5049,0,266,8,64,0
14/03/2025 11:00,2024,1,3,Other UK Airports,BLACKPOOL,38735,5585,941,138,0,1085,0,22738,8228,0,166,795
14/03/2025 11:00,2024,1,3,Other UK Airports,BOURNEMOUTH,21000,7671,473,737,0,283,4349,1542,4394,0,442,1582
14/03/2025 11:00,2024,1,3,Other UK Airports,BRISTOL,78595,71625,964,695,0,61,2481,3467,0,249,17,0
14/03/2025 11:00,2024,1,3,Other UK Airports,CAMBRIDGE,18291,0,0,0,2934,24,0,13050,1006,3,300,974
14/03/2025 11:00,2024,1,3,Other UK Airports,CAMPBELTOWN,1246,950,8,22,0,44,82,8,126,0,0,14
14/03/2025 11:00,2024,1,3,Other UK Airports,CARDIFF WALES,15455,7048,4,437,0,1860,5858,0,0,6,246,0
14/03/2025 11:00,2024,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),7231,3057,38,91,312,1352,1,960,1161,2,2,293
14/03/2025 11:00,2024,1,3,Other UK Airports,COVENTRY,21866,84,84,6,6,19091,4,0,2667,0,8,0
14/03/2025 11:00,2024,1,3,Other UK Airports,DUNDEE,4112,1667,232,261,133,997,95,2,335,4,30,588
