rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
14/03/2025 11:41,2024,2023,1,1,London Area Airports,GATWICK,2958795,983,2959778,2959787,-0.000304076
14/03/2025 11:41,2024,2023,1,1,London Area Airports,HEATHROW,5032280,94,5032374,4593721,9.548969125
14/03/2025 11:41,2024,2023,1,1,London Area Airports,LONDON CITY,727709,49,727758,714659,1.832902125
14/03/2025 11:41,2024,2023,1,1,London Area Airports,LUTON,1327893,2,1327895,1278488,3.864486800
14/03/2025 11:41,2024,2023,1,1,London Area Airports,SOUTHEND,480,0,480,58,727.586206897
14/03/2025 11:41,2024,2023,1,1,London Area Airports,STANSTED,1537466,526,1537992,1370241,12.242444942
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,ABERDEEN,1167645,62291,1229936,1188233,3.509665192
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BARRA,11057,0,11057,12849,-13.946610631
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2267711,114,2267825,2034855,11.448973023
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,4186488,1858,4188346,3947737,6.094858903
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BENBECULA,26471,0,26471,30660,-13.662752772
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BIGGIN HILL,0,810,810,1293,-37.354988399
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BIRMINGHAM,1146185,291,1146476,1031072,11.192622824
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BOURNEMOUTH,51860,1045,52905,50603,4.549137403
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,BRISTOL,1392422,297,1392719,1367544,1.840891408
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,CAMPBELTOWN,6941,0,6941,7072,-1.852375566
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,CARDIFF WALES,56174,1809,57983,69224,-16.238587773
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),175105,0,175105,149911,16.805971543
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,DUNDEE,29997,122,30119,32671,-7.811208717
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,121820,154,121974,120587,1.150206905
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,EDINBURGH,4706428,738,4707166,4286387,9.816635782
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,EXETER,126468,1011,127479,137354,-7.189452073
14/03/2025 11:41,2024,2023,1,3,Other UK Airports,FARNBOROUGH,0,3424,3424,4278,-19.962599345
