rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,GATWICK,40260068,43114888,45553837,46081327,46574786,10171867,6260072,32831088,40894242,43242155,42769164,-1.093819214
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,HEATHROW,74953708,75671863,77987524,80100311,80886589,22109550,19392178,61596618,79149042,83857297,84462273,0.72143513
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,LONDON CITY,4319301,4538735,4530439,4820403,5122271,908105,720580,3009313,3429684,3573250,3737888,4.607514168
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,LUTON,12262581,14642282,15989225,16766552,18213901,5550401,4673656,13322236,16399866,16937118,17768944,4.911260582
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,SOUTHEND,900634,874411,1091616,1480139,2035535,401143,94367,89361,146072,287758,719513,150.0410067
27/02/2026 10:45,2015 - 2025,1,1,London Area Airports,STANSTED,22513443,24318395,25902618,27995121,28124292,7536869,7145802,23289652,27951116,29694312,29758490,0.216128934
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,ABERDEEN,3469328,2955325,3090272,3055995,2912743,994076,1075639,1959883,2229918,2300657,2301943,0.055897076
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BARRA,10658,12808,14913,14706,14599,6140,9954,13102,12849,11057,11820,6.900605951
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2692713,2665139,2559846,2510294,2455259,542523,812397,1655156,2115153,2391042,2363716,-1.142849017
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BELFAST INTERNATIONAL,4389861,5147399,5836735,6268953,6278374,1746951,2327139,4818214,5956888,6750440,6677021,-1.087617992
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BENBECULA,32125,32439,33258,35404,34656,12713,20320,30230,30660,26471,26230,-0.910430282
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BIGGIN HILL,644,627,1318,1674,2262,1845,2612,4002,6495,8353,8319,-0.407039387
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BIRMINGHAM,10180059,11639399,12982180,12454642,12646456,2865845,2476584,9620727,11479335,12847682,13660382,6.325654698
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BLACKPOOL,33494,36269,23391,19321,15213,11412,0,9428,14365,18729,18610,-0.63537829
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BOURNEMOUTH,705433,666219,693977,674972,803127,175907,200488,734344,950028,1088370,1380450,26.83646187
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,BRISTOL,6781195,7604147,8233387,8696653,8959679,2192725,2085745,7945038,9911879,10614415,10832713,2.056618287
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,CAMBRIDGE,5799,591,0,0,0,0,0,0,0,0,0,
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,CAMPBELTOWN,8288,8472,8726,8472,7975,2108,2881,5812,7082,7007,7233,3.225346082
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,CARDIFF WALES,1158383,1344273,1464180,1579204,1654920,219197,122729,857397,837252,874714,958011,9.522769728
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),284482,290671,193981,185843,203777,80494,73024,163379,154486,179095,220933,23.36078618
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,DONCASTER SHEFFIELD,856592,1255592,1335590,1222295,1407862,338586,309326,959321,0,0,0,
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,DUNDEE,21942,37632,21327,21185,20917,8647,19658,36882,32862,30355,28007,-7.735134245
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4446219,4651373,4877545,4873757,4674338,900832,828224,3186367,3932497,4133198,3955756,-4.293092177
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,EDINBURGH,11113386,12347826,13409295,14291811,14733966,3473652,3023614,11248459,14395463,15779491,16969731,7.5429556
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,EXETER,821165,847017,908260,931182,1021705,147921,126837,382198,433067,449722,572260,27.24749957
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,FARNBOROUGH,0,0,0,0,0,0,0,0,38827,38342,37805,-1.400552918
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,GLASGOW,8709531,9343147,9894845,9652516,8843214,1944981,2071008,6516029,7355987,8064791,8205280,1.742004226
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,GLOUCESTERSHIRE,12253,12329,1488,0,0,5,0,0,0,0,0,
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,HUMBERSIDE,221190,201279,190490,191828,201818,45075,31503,92280,136976,150615,161171,7.008598081
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,INVERNESS,667560,782245,874486,892971,937728,239987,357141,699982,801338,796408,821139,3.105317877
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,ISLAY,28993,27973,32392,32508,34771,8693,12761,26148,28926,30535,32080,5.05976748
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),94718,95068,91852,92195,93927,41766,72291,86846,69404,68086,72244,6.106982346
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,KIRKWALL,149524,152727,164484,169683,161516,54638,75777,123055,134123,135580,146946,8.383242366
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,LANDS END (ST JUST),53704,64292,58834,63862,63847,34556,53105,63629,54336,49580,51458,3.787817668
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,LEEDS BRADFORD,3445291,3611458,4074500,4037686,3992209,751048,734830,3287968,3989405,4222256,4447024,5.323410044
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,LERWICK (TINGWALL),4175,4438,4139,3881,3309,1227,2300,2886,2913,2840,2768,-2.535211268
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),4295763,4776996,4896603,5042312,5043975,1337669,1165508,3490655,4193076,5074088,5611423,10.58978481
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,LYDD,1134,509,865,284,39,0,31,0,7,5,5,0
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,MANCHESTER,23094593,25598827,27773303,28254970,29367477,7029384,6082905,23340418,28077659,30755578,32061307,4.245503043
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,NEWCASTLE,4559841,4804958,5297952,5332238,5198952,1061146,1022540,4127035,4818885,5142738,5480380,6.56541321
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,NEWQUAY,250278,370272,459924,456511,461469,67877,105479,244674,408860,415989,394307,-5.212157052
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,NORWICH,459664,506007,528153,536578,530328,120258,127208,319040,357852,415099,446052,7.456775372
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,OXFORD (KIDLINGTON),166,383,90,100,0,514,556,120,2,2,0,-100
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,PRESTWICK,609589,671661,695669,680958,638975,90608,77807,444433,523949,535101,620699,15.99660625
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,SCATSTA,253526,162100,170847,174934,109480,35624,0,0,0,0,0,
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,SHOREHAM,490,165,0,0,0,0,0,0,0,0,0,
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,SOUTHAMPTON,1775638,1946938,2069605,1990930,1781308,296094,263131,631329,754678,852501,885186,3.834013098
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,STORNOWAY,124984,124338,132009,133375,129500,43093,60784,101121,105256,100807,104536,3.699147877
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,SUMBURGH,270126,249050,256393,245766,267420,113951,182320,246390,258478,287211,282238,-1.731479644
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,140373,131487,128007,139549,147824,37141,72151,173006,226326,227784,260762,14.47775085
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,TIREE,9564,11210,12137,12285,11944,5221,8196,10982,11707,9829,10511,6.938650931
27/02/2026 10:45,2015 - 2025,1,3,Other UK Airports,WICK JOHN O GROATS,24152,20021,17672,16756,12892,1913,0,6935,10719,9963,6688,-32.87162501
27/02/2026 10:45,2015 - 2025,2,4,Non UK Reporting Airports,ALDERNEY,59843,57595,54760,53343,53155,28048,41279,50924,49546,47736,47387,-0.731104408
27/02/2026 10:45,2015 - 2025,2,4,Non UK Reporting Airports,GUERNSEY,857775,839717,809215,804536,855396,184503,250462,653052,694129,683782,689714,0.867527955
27/02/2026 10:45,2015 - 2025,2,4,Non UK Reporting Airports,ISLE OF MAN,780857,790761,797374,836656,854676,162898,182371,551941,638619,639138,617015,-3.461380797
27/02/2026 10:45,2015 - 2025,2,4,Non UK Reporting Airports,JERSEY,1532492,1591976,1614221,1646423,1728973,420195,678067,1335974,1468802,1469806,1453595,-1.102934673
