rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_this_period,total_pax_last_period,total_pax_percent
19/03/2026 08:27,202601,202501,Other UK Airports,ABERDEEN,77241,438,77679,81563,-4.761963
19/03/2026 08:27,202601,202501,Non UK Reporting Airports,ALDERNEY,2246,0,2246,2456,-8.550489
19/03/2026 08:27,202601,202501,Other UK Airports,BARRA,583,0,583,507,14.990138
19/03/2026 08:27,202601,202501,Other UK Airports,BELFAST CITY (GEORGE BEST),166707,4,166711,157434,5.892628
19/03/2026 08:27,202601,202501,Other UK Airports,BELFAST INTERNATIONAL,263382,32,263414,264344,-0.351814
19/03/2026 08:27,202601,202501,Other UK Airports,BENBECULA,1410,0,1410,1546,-8.796895
19/03/2026 08:27,202601,202501,Other UK Airports,BIGGIN HILL,0,99,99,8,1137.500000
19/03/2026 08:27,202601,202501,Other UK Airports,BIRMINGHAM,80777,394,81171,80576,0.738433
19/03/2026 08:27,202601,202501,Other UK Airports,BOURNEMOUTH,4119,305,4424,3361,31.627492
19/03/2026 08:27,202601,202501,Other UK Airports,BRISTOL,94241,149,94390,86235,9.456717
19/03/2026 08:27,202601,202501,Other UK Airports,CAMPBELTOWN,336,0,336,359,-6.406685
19/03/2026 08:27,202601,202501,Other UK Airports,CARDIFF WALES,2277,241,2518,4024,-37.425447
19/03/2026 08:27,202601,202501,Other UK Airports,CITY OF DERRY (EGLINTON),14440,0,14440,14395,0.312609
19/03/2026 08:27,202601,202501,Other UK Airports,DUNDEE,1892,0,1892,1661,13.907285
19/03/2026 08:27,202601,202501,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4735,78,4813,5306,-9.291368
19/03/2026 08:27,202601,202501,Other UK Airports,EDINBURGH,324659,0,324659,315950,2.756449
19/03/2026 08:27,202601,202501,Other UK Airports,EXETER,4207,0,4207,4771,-11.821421
19/03/2026 08:27,202601,202501,Other UK Airports,FARNBOROUGH,0,119,119,302,-60.596026
19/03/2026 08:27,202601,202501,London Area Airports,GATWICK,207420,505,207925,205376,1.241138
19/03/2026 08:27,202601,202501,Other UK Airports,GLASGOW,238935,0,238935,220353,8.432833
19/03/2026 08:27,202601,202501,Non UK Reporting Airports,GUERNSEY,38797,10,38807,39033,-0.578997
19/03/2026 08:27,202601,202501,London Area Airports,HEATHROW,374741,0,374741,370268,1.208044
19/03/2026 08:27,202601,202501,Other UK Airports,HUMBERSIDE,0,167,167,681,-75.477239
19/03/2026 08:27,202601,202501,Other UK Airports,INVERNESS,41356,10,41366,38382,7.774478
19/03/2026 08:27,202601,202501,Other UK Airports,ISLAY,1435,0,1435,1388,3.386167
19/03/2026 08:27,202601,202501,Non UK Reporting Airports,ISLE OF MAN,35339,0,35339,36238,-2.480821
19/03/2026 08:27,202601,202501,Other UK Airports,ISLES OF SCILLY (ST.MARYS),2630,0,2630,2511,4.739148
19/03/2026 08:27,202601,202501,Non UK Reporting Airports,JERSEY,79096,27,79123,75834,4.337105
19/03/2026 08:27,202601,202501,Other UK Airports,KIRKWALL,7394,0,7394,8238,-10.245205
19/03/2026 08:27,202601,202501,Other UK Airports,LANDS END (ST JUST),1757,0,1757,2080,-15.528846
19/03/2026 08:27,202601,202501,Other UK Airports,LEEDS BRADFORD,11453,0,11453,12889,-11.141283
19/03/2026 08:27,202601,202501,Other UK Airports,LERWICK (TINGWALL),80,0,80,126,-36.507937
19/03/2026 08:27,202601,202501,Other UK Airports,LIVERPOOL (JOHN LENNON),52487,483,52970,52855,0.217576
19/03/2026 08:27,202601,202501,London Area Airports,LONDON CITY,48543,0,48543,47862,1.422841
19/03/2026 08:27,202601,202501,London Area Airports,LUTON,88848,0,88848,82762,7.353616
19/03/2026 08:27,202601,202501,Other UK Airports,MANCHESTER,144143,615,144758,131296,10.253168
19/03/2026 08:27,202601,202501,Other UK Airports,NEWCASTLE,73298,227,73525,72871,0.897476
19/03/2026 08:27,202601,202501,Other UK Airports,NEWQUAY,6457,0,6457,7924,-18.513377
19/03/2026 08:27,202601,202501,Other UK Airports,NORWICH,1478,85,1563,2082,-24.927954
19/03/2026 08:27,202601,202501,Other UK Airports,OXFORD (KIDLINGTON),0,4,4,0,Null
19/03/2026 08:27,202601,202501,Other UK Airports,SOUTHAMPTON,29536,293,29829,31124,-4.160776
19/03/2026 08:27,202601,202501,London Area Airports,SOUTHEND,0,0,0,313,Null
19/03/2026 08:27,202601,202501,London Area Airports,STANSTED,101099,87,101186,99434,1.761973
19/03/2026 08:27,202601,202501,Other UK Airports,STORNOWAY,6411,0,6411,6004,6.778814
19/03/2026 08:27,202601,202501,Other UK Airports,SUMBURGH,7477,5322,12799,13477,-5.030793
19/03/2026 08:27,202601,202501,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,0,178,178,929,-80.839612
19/03/2026 08:27,202601,202501,Other UK Airports,TIREE,599,0,599,494,21.255061
19/03/2026 08:27,202601,202501,Other UK Airports,WICK JOHN O GROATS,93,0,93,399,-76.691729

